Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Year
Joe Johnson,22,PHO,SG,82,77,3331,13.9,0.491,0.211,0.180,2.7,10.5,6.6,18.6,1.4,0.6,12.5,21.6,2.2,1.1,3.3,0.047,0.1,-1.4,-1.3,0.6,,johnsjo02,2003-2004
Peja Stojaković,26,SAC,SF,81,81,3264,21.8,0.624,0.400,0.307,3.2,14.1,8.8,9.1,1.7,0.3,8.9,23.9,11.4,2.1,13.5,0.198,5.2,-1.3,3.9,4.9,MVP-4ASNBA2,stojape01,2003-2004
Stephon Marbury,26,2TM,PG,81,81,3254,20.4,0.519,0.198,0.315,2.1,7.2,4.6,40.1,2.1,0.2,13.6,25.8,7.4,1.7,9.1,0.134,4.1,-0.9,3.2,4.3,,marbust01,2003-2004
Stephon Marbury,26,PHO,PG,34,34,1415,19.9,0.515,0.195,0.305,1.5,7.9,4.7,35.2,2.3,0.3,12.4,25.0,2.9,0.6,3.5,0.120,3.6,-0.6,3.0,1.8,,marbust01,2003-2004
Stephon Marbury,26,NYK,PG,47,47,1839,20.9,0.523,0.200,0.322,2.5,6.6,4.6,44.0,1.9,0.2,14.6,26.3,4.5,1.0,5.5,0.144,4.6,-1.1,3.4,2.5,,marbust01,2003-2004
Kevin Garnett,27,MIN,PF,82,82,3231,29.4,0.547,0.027,0.289,9.1,30.0,20.1,24.4,2.0,4.0,10.5,29.6,10.4,8.0,18.3,0.272,6.8,3.3,10.2,10.0,MVP-1DPOY-6ASNBA1,garneke01,2003-2004
Cuttino Mobley,28,HOU,SG,80,80,3229,14.1,0.535,0.389,0.201,1.5,11.2,6.6,14.7,1.8,0.8,13.3,20.1,3.4,4.3,7.6,0.114,0.5,0.9,1.4,2.8,,moblecu01,2003-2004
Shawn Marion,25,PHO,SF,79,79,3217,19.9,0.513,0.198,0.200,7.5,18.7,13.1,11.7,2.7,2.4,9.7,22.7,5.3,3.8,9.1,0.135,3.0,0.6,3.6,4.6,,mariosh01,2003-2004
Steve Francis,26,HOU,PG,79,79,3194,15.8,0.501,0.224,0.389,4.5,11.1,8.0,28.3,2.4,0.8,18.3,24.0,2.4,4.7,7.1,0.107,0.5,0.9,1.4,2.7,AS,francst01,2003-2004
Richard Jefferson,23,NJN,SF,82,82,3133,18.1,0.573,0.118,0.420,4.1,13.3,8.7,18.7,1.6,0.7,13.0,22.8,6.5,4.4,11.0,0.168,1.9,0.4,2.3,3.4,,jefferi01,2003-2004
