Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Year
Monta Ellis,25,GSW,SG,80,80,3227,18.6,0.536,0.235,0.268,1.5,8.5,4.9,23.4,2.6,0.5,12.3,28.1,4.3,1.7,6.0,0.089,1.7,-0.9,0.8,2.3,,ellismo01,2010-2011
LaMarcus Aldridge,25,POR,PF,81,81,3211,21.5,0.549,0.016,0.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,7.6,3.5,11.1,0.166,2.6,-0.5,2.1,3.4,NBA3,aldrila01,2010-2011
Luol Deng,25,CHI,SF,82,82,3208,15.5,0.549,0.288,0.291,4.4,12.8,8.7,11.9,1.3,1.1,10.7,20.9,4.7,5.2,9.9,0.149,1.1,0.6,1.7,3.0,DPOY-10,denglu01,2010-2011
Dorell Wright,25,GSW,SF,82,82,3147,15.0,0.539,0.450,0.199,3.1,12.6,7.8,11.6,2.0,1.5,9.6,19.3,3.9,1.8,5.8,0.088,1.3,-0.5,0.8,2.2,,wrighdo01,2010-2011
Blake Griffin,21,LAC,PF,82,82,3112,21.9,0.549,0.017,0.505,10.2,26.9,18.6,18.7,1.0,1.1,11.7,27.3,6.5,3.4,9.8,0.152,3.0,-0.3,2.6,3.6,MVP-10ROY-1AS,griffbl01,2010-2011
LeBron James,26,MIA,SF,79,79,3063,27.3,0.594,0.188,0.446,3.3,18.7,11.4,34.9,2.1,1.3,13.8,31.5,10.3,5.3,15.6,0.244,6.3,1.8,8.1,7.8,MVP-3DPOY-9ASNBA1,jamesle01,2010-2011
Kevin Durant,22,OKC,SF,78,78,3038,23.6,0.589,0.269,0.439,2.3,17.7,10.3,13.2,1.5,1.8,10.6,30.6,8.6,3.3,12.0,0.189,5.2,-0.3,4.9,5.3,MVP-5ASNBA1,duranke01,2010-2011
Pau Gasol,30,LAL,C,82,82,3037,23.3,0.589,0.003,0.384,10.3,20.5,15.6,15.1,0.8,3.3,9.8,21.8,10.0,4.7,14.7,0.232,3.9,0.9,4.8,5.2,ASNBA2,gasolpa01,2010-2011
Derrick Rose,22,CHI,PG,81,81,3026,23.5,0.550,0.241,0.348,3.2,9.4,6.4,38.7,1.5,1.3,13.1,32.2,8.3,4.8,13.1,0.208,6.3,0.5,6.8,6.7,MVP-1ASNBA1,rosede01,2010-2011
Al Jefferson,26,UTA,C,82,82,2940,20.1,0.528,0.000,0.219,9.6,23.2,16.3,9.2,0.8,4.2,6.8,24.2,5.1,2.7,7.8,0.128,1.6,-1.0,0.6,1.9,,jeffeal01,2010-2011
Dwight Howard,25,ORL,C,78,78,2935,26.1,0.616,0.007,0.877,12.6,30.6,21.8,6.8,1.9,4.9,16.2,27.2,6.7,7.7,14.4,0.235,2.9,2.4,5.3,5.4,MVP-2DPOY-1ASNBA1,howardw01,2010-2011
Jrue Holiday,20,PHI,PG,82,82,2901,15.4,0.525,0.222,0.209,2.7,10.5,6.6,29.0,2.2,0.8,16.7,20.8,2.2,3.5,5.7,0.094,0.4,0.4,0.8,2.0,,holidjr01,2010-2011
Ray Allen,35,BOS,SG,80,80,2890,16.4,0.615,0.387,0.224,2.3,9.0,5.8,12.7,1.4,0.4,9.8,19.8,5.8,4.2,10.0,0.166,2.3,0.6,2.9,3.6,AS,allenra02,2010-2011
Brook Lopez,22,NJN,C,82,82,2889,19.3,0.549,0.001,0.374,7.8,12.3,10.0,8.8,0.9,3.2,10.4,27.3,4.4,1.9,6.3,0.105,1.4,-0.9,0.6,1.9,,lopezbr01,2010-2011
Chris Paul,25,NOH,PG,80,80,2880,23.7,0.578,0.197,0.414,1.6,12.3,6.9,45.8,3.5,0.1,13.9,21.1,9.5,4.4,13.9,0.232,4.4,2.8,7.1,6.7,MVP-13DPOY-12ASNBA3,paulch01,2010-2011
