Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
James Harden,25,HOU,SG,81,81,2981,26.7,0.605,0.378,0.561,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,12.2,4.2,16.4,0.265,7.0,1.8,8.8,8.1,MVP-2ASNBA1,hardeja01
Andrew Wiggins,19,MIN,SF,82,82,2969,13.9,0.517,0.111,0.410,5.0,9.5,7.2,9.8,1.5,1.3,11.7,22.6,2.1,0.0,2.1,0.034,-0.4,-2.0,-2.4,-0.3,ROY-1,wiggian01
Trevor Ariza,29,HOU,SF,82,82,2930,12.7,0.539,0.610,0.157,2.9,14.4,8.6,11.1,2.6,0.5,12.7,16.5,2.7,3.9,6.6,0.108,-0.1,1.1,1.0,2.2,DPOY-13,arizatr01
Damian Lillard,24,POR,PG,82,82,2925,20.7,0.560,0.421,0.293,1.8,11.8,6.9,29.0,1.7,0.5,12.6,26.9,7.3,3.3,10.6,0.174,4.3,0.3,4.7,4.9,AS,lillada01
Chris Paul,29,LAC,PG,82,82,2857,26.0,0.596,0.298,0.274,2.1,12.5,7.4,47.4,2.8,0.4,12.7,23.7,12.9,3.2,16.1,0.270,6.4,1.6,8.0,7.2,MVP-6DPOY-15ASNBA2,paulch01
John Wall,24,WAS,PG,79,79,2837,19.9,0.523,0.186,0.310,1.5,12.8,7.3,46.3,2.5,1.3,18.7,26.1,3.6,4.2,7.8,0.132,2.6,1.0,3.6,4.0,AS,walljo01
DeAndre Jordan,26,LAC,C,82,82,2820,21.0,0.638,0.007,0.882,16.2,32.4,24.5,3.2,1.5,5.4,12.8,13.6,7.4,5.4,12.8,0.217,2.2,0.7,2.9,3.5,DPOY-3NBA3,jordade01
Eric Bledsoe,25,PHO,PG,81,81,2800,18.4,0.555,0.260,0.422,2.8,13.9,8.3,27.9,2.3,1.2,18.1,23.7,4.1,2.9,7.0,0.119,1.6,0.5,2.1,2.9,,bledser01
Joe Johnson,33,BRK,SG,80,80,2791,14.1,0.523,0.329,0.172,2.1,13.3,7.7,17.1,1.1,0.4,11.1,20.3,2.6,1.5,4.1,0.070,0.7,-0.8,-0.1,1.3,,johnsjo02
Kyrie Irving,22,CLE,PG,75,75,2730,21.5,0.583,0.306,0.296,2.3,7.5,5.0,25.0,2.2,0.6,11.8,26.2,8.4,2.0,10.4,0.183,4.4,-0.4,4.1,4.2,ASNBA3,irvinky01
Monta Ellis,29,DAL,SG,80,80,2699,16.5,0.509,0.210,0.224,1.4,6.4,3.9,20.5,2.8,0.8,11.7,27.9,1.4,2.2,3.6,0.065,0.0,-0.1,-0.1,1.3,,ellismo01
Tyreke Evans,25,NOP,SG,79,76,2690,17.7,0.508,0.195,0.250,3.5,14.1,8.8,32.7,2.0,1.0,16.0,26.1,2.4,2.2,4.6,0.082,1.4,-0.2,1.2,2.2,,evansty01
Marc Gasol,30,MEM,C,81,81,2687,21.7,0.558,0.016,0.410,4.9,21.8,13.4,19.7,1.4,4.0,12.2,24.6,5.5,4.7,10.2,0.182,2.7,2.4,5.1,4.8,MVP-8DPOY-10ASNBA1,gasolma01
Pau Gasol,34,CHI,PF,78,78,2681,22.7,0.550,0.023,0.317,9.2,27.6,18.6,14.4,0.5,4.0,10.7,24.7,6.0,4.4,10.4,0.187,2.9,0.6,3.5,3.7,ASNBA2,gasolpa01
Ben McLemore,21,SAC,SG,82,82,2670,10.4,0.552,0.471,0.193,1.4,8.6,5.1,8.4,1.5,0.6,13.3,17.2,1.7,0.8,2.5,0.045,-1.3,-0.9,-2.2,-0.2,,mclembe01
Ty Lawson,27,DEN,PG,75,75,2665,18.5,0.526,0.221,0.392,1.6,8.1,4.7,43.0,1.7,0.3,14.6,20.6,6.0,1.0,7.0,0.126,3.0,-0.9,2.2,2.8,,lawsoty01
Goran Dragić,28,2TM,PG,78,78,2640,17.4,0.577,0.258,0.234,3.5,8.2,5.9,22.8,1.5,0.5,13.5,21.8,5.4,1.4,6.8,0.123,1.6,-0.8,0.8,1.8,,dragigo01
Goran Dragić,28,PHO,SG,52,52,1735,16.7,0.573,0.274,0.191,3.2,8.5,5.8,20.2,1.4,0.4,13.4,21.5,3.1,0.9,4.0,0.111,1.1,-1.0,0.1,0.9,,dragigo01
Goran Dragić,28,MIA,PG,26,26,905,18.8,0.586,0.226,0.322,4.1,7.7,5.9,27.8,1.6,0.6,13.8,22.2,2.3,0.5,2.8,0.146,2.5,-0.4,2.1,0.9,,dragigo01
Gordon Hayward,24,UTA,SF,76,76,2618,20.2,0.567,0.304,0.425,2.4,14.0,8.2,21.7,2.2,0.9,13.8,26.2,5.8,2.9,8.7,0.159,3.5,0.5,4.0,4.0,,haywago01
Stephen Curry,26,GSW,PG,80,80,2613,28.0,0.638,0.482,0.251,2.4,11.4,7.0,38.6,3.0,0.5,14.3,28.9,11.5,4.1,15.7,0.288,8.2,1.7,9.9,7.9,MVP-1ASNBA1,curryst01
Kentavious Caldwell-Pope,21,DET,SG,82,82,2587,11.2,0.501,0.457,0.163,1.9,9.1,5.4,6.8,1.9,0.5,8.3,19.5,1.1,1.8,2.8,0.052,-1.3,-0.4,-1.7,0.2,,caldwke01
Markieff Morris,25,PHO,PF,82,82,2581,15.8,0.523,0.163,0.211,4.6,17.0,10.7,12.4,2.0,1.2,12.4,23.3,1.8,2.7,4.6,0.085,-0.5,0.2,-0.3,1.1,,morrima02
Victor Oladipo,22,ORL,SG,72,71,2573,15.9,0.527,0.228,0.295,2.2,11.2,6.6,19.3,2.4,0.6,14.3,25.2,1.5,2.0,3.5,0.065,-0.1,-0.3,-0.4,1.1,,oladivi01
