Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,Year
Allen Iverson,29,PHI,PG,75,75,3174,771,1818,0.424,104,338,0.308,667,1480,0.451,0.453,656,786,0.835,51,248,299,596,180,9,344,140,2302,0,MVP-5DPOY-11ASNBA1,iversal01,2004-2005
LeBron James,20,CLE,SF,80,80,3388,795,1684,0.472,108,308,0.351,687,1376,0.499,0.504,477,636,0.750,111,477,588,577,177,52,262,146,2175,4,MVP-6ASNBA2,jamesle01,2004-2005
Amar'e Stoudemire,22,PHO,C,80,80,2889,747,1336,0.559,3,16,0.188,744,1320,0.564,0.560,583,795,0.733,219,494,713,131,77,130,189,278,2080,0,MVP-9ASNBA2,stoudam01,2004-2005
Gilbert Arenas,23,WAS,PG,80,80,3274,656,1523,0.431,205,562,0.365,451,961,0.469,0.498,521,640,0.814,83,295,378,411,139,23,242,245,2038,0,MVP-12ASNBA3,arenagi01,2004-2005
Dirk Nowitzki,26,DAL,PF,78,78,3020,663,1445,0.459,91,228,0.399,572,1217,0.470,0.490,615,708,0.869,96,661,757,240,97,119,176,219,2032,0,MVP-3ASNBA1,nowitdi01,2004-2005
Tracy McGrady,25,HOU,SF,78,78,3182,715,1660,0.431,142,435,0.326,573,1225,0.468,0.473,431,557,0.774,71,413,484,448,135,52,201,167,2003,0,MVP-7ASNBA3,mcgratr01,2004-2005
Vince Carter,28,2TM,SF,77,76,2828,696,1541,0.452,127,313,0.406,569,1228,0.463,0.493,367,460,0.798,106,295,401,327,109,48,168,243,1886,0,MVP-13AS,cartevi01,2004-2005
Vince Carter,28,TOR,SG,20,20,608,124,302,0.411,19,59,0.322,105,243,0.432,0.442,50,72,0.694,28,38,66,61,25,15,22,56,317,0,,cartevi01,2004-2005
Vince Carter,28,NJN,SF,57,56,2220,572,1239,0.462,108,254,0.425,464,985,0.471,0.505,317,388,0.817,78,257,335,266,84,33,146,187,1569,0,,cartevi01,2004-2005
Ray Allen,29,SEA,SG,78,78,3064,640,1494,0.428,209,556,0.376,431,938,0.459,0.498,378,428,0.883,79,268,347,289,84,5,171,167,1867,0,MVP-9ASNBA2,allenra02,2004-2005
Dwyane Wade,23,MIA,SG,77,77,2974,630,1318,0.478,13,45,0.289,617,1273,0.485,0.483,581,762,0.762,110,287,397,520,121,82,321,230,1854,1,MVP-8DPOY-21ASNBA2,wadedw01,2004-2005
Kobe Bryant,26,LAL,SG,66,66,2689,573,1324,0.433,131,387,0.339,442,937,0.472,0.482,542,664,0.816,95,297,392,398,86,53,270,174,1819,5,ASNBA3,bryanko01,2004-2005
Kevin Garnett,28,MIN,PF,82,82,3121,683,1360,0.502,6,25,0.240,677,1335,0.507,0.504,445,549,0.811,247,861,1108,466,121,112,222,207,1817,1,MVP-11DPOY-9ASNBA2,garneke01,2004-2005
Stephon Marbury,27,NYK,PG,82,82,3281,604,1308,0.462,115,325,0.354,489,983,0.497,0.506,458,549,0.834,50,198,248,668,122,6,233,186,1781,0,,marbust01,2004-2005
Paul Pierce,27,BOS,SF,82,82,2960,556,1223,0.455,108,292,0.370,448,931,0.481,0.499,549,668,0.822,78,461,539,348,133,39,230,255,1769,2,AS,piercpa01,2004-2005
Michael Redd,25,MIL,SG,75,75,2848,625,1418,0.441,104,293,0.355,521,1125,0.463,0.477,369,432,0.854,72,240,312,172,63,8,133,152,1723,0,,reddmi01,2004-2005
Shaquille O'Neal,32,MIA,C,73,73,2492,658,1095,0.601,0,0,,658,1095,0.601,0.601,353,765,0.461,253,507,760,200,36,171,203,262,1669,0,MVP-2DPOY-8ASNBA1,onealsh01,2004-2005
Steve Francis,27,ORL,PG,78,78,2978,563,1330,0.423,38,127,0.299,525,1203,0.436,0.438,499,606,0.823,126,324,450,547,112,28,317,273,1663,0,,francst01,2004-2005
Elton Brand,25,LAC,PF,81,81,3001,629,1251,0.503,0,3,0.000,629,1248,0.504,0.503,364,484,0.752,296,474,770,208,62,169,183,240,1622,0,,brandel01,2004-2005
Mike Bibby,26,SAC,PG,80,80,3084,560,1264,0.443,131,364,0.360,429,900,0.477,0.495,320,413,0.775,77,255,332,541,124,30,203,191,1571,1,,bibbymi01,2004-2005
Shawn Marion,26,PHO,PF,81,81,3146,613,1289,0.476,114,341,0.334,499,948,0.526,0.520,229,275,0.833,235,680,915,154,163,119,125,199,1569,0,MVP-14DPOY-5ASNBA3,mariosh01,2004-2005
Jason Richardson,24,GSW,SG,72,72,2724,610,1368,0.446,125,370,0.338,485,998,0.486,0.492,214,309,0.693,125,299,424,281,105,32,169,156,1559,0,,richaja01,2004-2005
Carmelo Anthony,20,DEN,SF,75,75,2608,530,1230,0.431,42,158,0.266,488,1072,0.455,0.448,456,573,0.796,141,285,426,194,68,30,224,229,1558,0,,anthoca01,2004-2005
Jalen Rose,32,TOR,SF,81,65,2710,527,1159,0.455,108,274,0.394,419,885,0.473,0.501,333,390,0.854,44,232,276,209,63,10,180,190,1495,0,,roseja01,2004-2005
Antoine Walker,28,2TM,PF,77,77,2955,581,1377,0.422,110,341,0.323,471,1036,0.455,0.462,201,373,0.539,182,513,695,265,89,58,253,217,1473,0,,walkean02,2004-2005
Antoine Walker,28,ATL,PF,53,53,2128,420,1013,0.415,85,268,0.317,335,745,0.450,0.457,157,294,0.534,126,371,497,194,64,32,183,147,1082,0,,walkean02,2004-2005
Antoine Walker,28,BOS,PF,24,24,827,161,364,0.442,25,73,0.342,136,291,0.467,0.477,44,79,0.557,56,142,198,71,25,26,70,70,391,0,,walkean02,2004-2005
Yao Ming,24,HOU,C,80,80,2447,538,975,0.552,0,0,,538,975,0.552,0.552,389,497,0.783,208,461,669,61,34,160,196,298,1465,0,AS,mingya01,2004-2005
Corey Maggette,25,LAC,SG,66,60,2436,425,986,0.431,51,168,0.304,374,818,0.457,0.457,563,657,0.857,70,324,394,225,70,8,195,191,1464,0,,maggeco01,2004-2005
Rashard Lewis,25,SEA,SF,71,71,2697,532,1151,0.462,173,432,0.400,359,719,0.499,0.537,220,283,0.777,110,278,388,94,75,62,123,158,1457,0,AS,lewisra02,2004-2005
