Year,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Player-additional
2023-24,Nikola Jokić,(V),28,DEN,79,34.6,26.4,12.4,9.0,1.4,0.9,0.583,0.359,0.817,17.0,0.299,jokicni01
2022-23,Joel Embiid,(V),28,PHI,66,34.6,33.1,10.2,4.2,1.0,1.7,0.548,0.330,0.857,12.3,0.259,embiijo01
2021-22,Nikola Jokić,(V),26,DEN,74,33.5,27.1,13.8,7.9,1.5,0.9,0.583,0.337,0.810,15.2,0.296,jokicni01
2020-21,Nikola Jokić,(V),25,DEN,72,34.6,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868,15.6,0.301,jokicni01
2019-20,Giannis Antetokounmpo,(V),25,MIL,63,30.4,29.5,13.6,5.6,1.0,1.0,0.553,0.304,0.633,11.1,0.279,antetgi01
2018-19,Giannis Antetokounmpo,(V),24,MIL,72,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292,antetgi01
2017-18,James Harden,(V),28,HOU,72,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289,hardeja01
2016-17,Russell Westbrook,(V),28,OKC,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224,westbru01
2015-16,Stephen Curry,(V),27,GSW,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318,curryst01
2014-15,Stephen Curry,(V),26,GSW,80,32.7,23.8,4.3,7.7,2.0,0.2,0.487,0.443,0.914,15.7,0.288,curryst01
2013-14,Kevin Durant,(V),25,OKC,81,38.5,32.0,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295,duranke01
2012-13,LeBron James,(V),28,MIA,76,37.9,26.8,8.0,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322,jamesle01
2011-12,LeBron James,(V),27,MIA,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298,jamesle01
2010-11,Derrick Rose,(V),22,CHI,81,37.4,25.0,4.1,7.7,1.0,0.6,0.445,0.332,0.858,13.1,0.208,rosede01
2009-10,LeBron James,(V),25,CLE,76,39.0,29.7,7.3,8.6,1.6,1.0,0.503,0.333,0.767,18.5,0.299,jamesle01
2008-09,LeBron James,(V),24,CLE,81,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.780,20.3,0.318,jamesle01
2007-08,Kobe Bryant,(V),29,LAL,82,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.840,13.8,0.208,bryanko01
2006-07,Dirk Nowitzki,(V),28,DAL,78,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,16.3,0.278,nowitdi01
2005-06,Steve Nash,(V),31,PHO,79,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,12.4,0.212,nashst01
2004-05,Steve Nash,(V),30,PHO,75,34.3,15.5,3.3,11.5,1.0,0.1,0.502,0.431,0.887,10.9,0.203,nashst01
2003-04,Kevin Garnett,(V),27,MIN,82,39.4,24.2,13.9,5.0,1.5,2.2,0.499,0.256,0.791,18.3,0.272,garneke01
2002-03,Tim Duncan,(V),26,SAS,81,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.710,16.5,0.248,duncati01
2001-02,Tim Duncan,(V),25,SAS,82,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.100,0.799,17.8,0.257,duncati01
2000-01,Allen Iverson,(V),25,PHI,71,42.0,31.1,3.8,4.6,2.5,0.3,0.420,0.320,0.814,11.8,0.190,iversal01
