Year,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
2004-2005,San Antonio Spurs,W,SW,59,23,0.720,7.80,108.45,99.59,8.85,7.84,108.18,99.31,8.87
2004-2005,Phoenix Suns,W,P,62,20,0.756,7.12,115.01,107.53,7.49,7.08,115.06,107.63,7.43
2004-2005,Dallas Mavericks,W,SW,58,24,0.707,5.74,111.32,104.88,6.44,5.85,111.30,104.76,6.55
2004-2005,Miami Heat,E,SE,59,23,0.720,6.52,111.08,103.74,7.33,5.76,110.81,104.31,6.50
2004-2005,Houston Rockets,W,SW,51,31,0.622,4.04,107.03,102.57,4.46,4.26,106.85,102.15,4.70
2004-2005,Detroit Pistons,E,C,54,28,0.659,3.87,106.49,102.07,4.42,3.31,106.19,102.38,3.81
2004-2005,Seattle SuperSonics,W,NW,52,30,0.634,2.29,113.09,110.41,2.68,2.59,113.33,110.34,2.99
2004-2005,Memphis Grizzlies,W,SW,45,37,0.549,2.29,106.50,103.89,2.61,2.63,106.57,103.60,2.97
2004-2005,Sacramento Kings,W,P,50,32,0.610,2.16,111.02,108.76,2.26,2.55,111.16,108.46,2.70
2004-2005,Denver Nuggets,W,NW,49,33,0.598,2.02,106.60,104.67,1.93,2.22,106.49,104.34,2.15
2004-2005,Minnesota Timberwolves,W,NW,44,38,0.537,1.45,108.99,107.35,1.64,1.73,108.98,107.05,1.93
2004-2005,Chicago Bulls,E,C,47,35,0.573,1.06,102.14,101.01,1.13,0.65,101.84,101.15,0.69
2004-2005,Indiana Pacers,E,C,44,38,0.537,0.76,106.46,105.55,0.91,0.49,106.47,105.85,0.62
2004-2005,Boston Celtics,E,A,45,37,0.549,0.87,108.31,107.40,0.91,0.34,108.27,107.92,0.35
2004-2005,Cleveland Cavaliers,E,C,42,40,0.512,0.79,107.58,106.68,0.89,0.27,107.50,107.17,0.33
2004-2005,Los Angeles Clippers,W,P,37,45,0.451,-0.77,106.76,107.50,-0.74,-0.47,106.78,107.20,-0.43
2004-2005,Washington Wizards,E,SE,45,37,0.549,-0.33,107.94,108.32,-0.38,-0.72,107.91,108.70,-0.79
2004-2005,Philadelphia 76ers,E,A,43,39,0.524,-0.74,104.00,104.86,-0.86,-1.08,103.82,105.03,-1.21
2004-2005,Toronto Raptors,E,A,33,49,0.402,-1.62,107.78,109.41,-1.63,-1.81,107.85,109.68,-1.83
2004-2005,Golden State Warriors,W,P,34,48,0.415,-2.16,105.24,107.71,-2.46,-1.74,105.22,107.24,-2.01
2004-2005,New Jersey Nets,E,A,42,40,0.512,-1.50,102.29,104.02,-1.73,-1.82,102.11,104.18,-2.07
2004-2005,Los Angeles Lakers,W,P,34,48,0.415,-2.96,108.86,112.12,-3.27,-2.33,109.16,111.74,-2.58
2004-2005,Orlando Magic,E,SE,36,46,0.439,-2.24,105.70,108.01,-2.31,-2.52,105.73,108.33,-2.60
2004-2005,New York Knicks,E,A,33,49,0.402,-2.44,106.93,109.59,-2.66,-2.73,107.05,110.01,-2.96
2004-2005,Milwaukee Bucks,E,C,30,52,0.366,-2.99,107.00,110.42,-3.42,-3.09,107.21,110.72,-3.51
2004-2005,Portland Trail Blazers,W,NW,27,55,0.329,-4.00,104.26,108.64,-4.37,-3.45,104.39,108.17,-3.78
2004-2005,Utah Jazz,W,NW,26,56,0.317,-4.27,105.57,110.29,-4.72,-3.74,105.75,109.90,-4.16
2004-2005,Charlotte Bobcats,E,SE,18,64,0.220,-5.99,101.91,108.40,-6.49,-6.15,101.87,108.54,-6.67
2004-2005,New Orleans Hornets,W,SW,18,64,0.220,-7.07,100.72,108.89,-8.17,-6.30,101.00,108.32,-7.32
2004-2005,Atlanta Hawks,E,SE,13,69,0.159,-9.71,101.23,111.99,-10.76,-9.62,101.45,112.09,-10.64
