Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,Year
Paul Pierce,24,BOS,SG,82,82,3302,707,1598,0.442,210,520,0.404,497,1078,0.461,0.508,520,643,0.809,81,485,566,261,154,86,241,237,2144,0,MVP-11ASNBA3,piercpa01,2001-2002
Tim Duncan,25,SAS,PF,82,82,3329,764,1504,0.508,1,10,0.100,763,1494,0.511,0.508,560,701,0.799,268,774,1042,307,61,203,263,217,2089,0,MVP-1ASNBA1,duncati01,2001-2002
Kobe Bryant,23,LAL,SG,80,80,3063,749,1597,0.469,33,132,0.250,716,1465,0.489,0.479,488,589,0.829,112,329,441,438,118,35,223,228,2019,1,MVP-5DPOY-3ASNBA1,bryanko01,2001-2002
Tracy McGrady,22,ORL,SG,76,76,2912,715,1586,0.451,103,283,0.364,612,1303,0.470,0.483,415,555,0.748,150,447,597,400,119,73,189,139,1948,1,MVP-4ASNBA1,mcgratr01,2001-2002
Allen Iverson,26,PHI,SG,60,59,2622,665,1669,0.398,78,268,0.291,587,1401,0.419,0.422,475,585,0.812,44,225,269,331,168,13,237,102,1883,1,MVP-9ASNBA2,iversal01,2001-2002
Shaquille O'Neal,29,LAL,C,67,66,2422,712,1229,0.579,0,1,0.000,712,1228,0.580,0.579,398,717,0.555,235,480,715,200,41,137,171,199,1822,0,MVP-3ASNBA1,onealsh01,2001-2002
Gary Payton,33,SEA,PG,82,82,3301,737,1578,0.467,74,236,0.314,663,1342,0.494,0.490,267,335,0.797,80,316,396,737,131,26,209,179,1815,2,MVP-6ASNBA2,paytoga01,2001-2002
Antoine Walker,25,BOS,PF,81,81,3406,666,1689,0.394,222,645,0.344,444,1044,0.425,0.460,240,324,0.741,150,564,714,407,122,38,251,237,1794,2,AS,walkean02,2001-2002
Karl Malone,38,UTA,PF,80,80,3040,635,1399,0.454,9,25,0.360,626,1374,0.456,0.457,509,639,0.797,142,544,686,341,152,59,263,229,1788,0,AS,malonka01,2001-2002
Dirk Nowitzki,23,DAL,C,76,76,2891,600,1258,0.477,139,350,0.397,461,908,0.508,0.532,440,516,0.853,120,635,755,186,83,77,145,222,1779,0,MVP-8ASNBA2,nowitdi01,2001-2002
Kevin Garnett,25,MIN,PF,81,81,3175,659,1401,0.470,37,116,0.319,622,1285,0.484,0.484,359,448,0.801,243,738,981,422,96,126,229,184,1714,0,MVP-12DPOY-2ASNBA2,garneke01,2001-2002
Jalen Rose,29,2TM,SF,83,83,3153,663,1458,0.455,89,246,0.362,574,1212,0.474,0.485,281,335,0.839,43,330,373,355,78,45,201,251,1696,0,,roseja01,2001-2002
Jalen Rose,29,IND,SF,53,53,1937,387,871,0.444,52,146,0.356,335,725,0.462,0.474,156,186,0.839,29,220,249,197,45,29,105,148,982,0,,roseja01,2001-2002
Jalen Rose,29,CHI,SF,30,30,1216,276,587,0.470,37,100,0.370,239,487,0.491,0.502,125,149,0.839,14,110,124,158,33,16,96,103,714,0,,roseja01,2001-2002
Stephon Marbury,24,PHO,PG,82,80,3187,625,1413,0.442,71,248,0.286,554,1165,0.476,0.467,353,452,0.781,75,191,266,666,77,13,284,186,1674,0,,marbust01,2001-2002
Shareef Abdur-Rahim,25,ATL,PF,77,77,2980,598,1297,0.461,21,70,0.300,577,1227,0.470,0.469,419,523,0.801,198,498,696,239,98,81,250,214,1636,0,AS,abdursh01,2001-2002
Jerry Stackhouse,27,DET,SF,76,76,2685,524,1319,0.397,86,300,0.287,438,1019,0.430,0.430,495,577,0.858,77,238,315,403,77,37,266,163,1629,0,-MVP 15.00,stackje01,2001-2002
Antawn Jamison,25,GSW,SF,82,82,3033,614,1375,0.447,68,210,0.324,546,1165,0.469,0.471,323,440,0.734,211,345,556,161,70,45,161,187,1619,0,,jamisan01,2001-2002
Cuttino Mobley,26,HOU,SG,74,74,3116,595,1358,0.438,149,377,0.395,446,981,0.455,0.493,267,314,0.850,63,237,300,187,109,37,180,189,1606,0,,moblecu01,2001-2002
Latrell Sprewell,31,NYK,SF,81,81,3326,573,1419,0.404,145,403,0.360,428,1016,0.421,0.455,284,346,0.821,59,239,298,313,94,14,223,161,1575,0,,sprewla01,2001-2002
Allan Houston,30,NYK,SG,77,77,2914,568,1301,0.437,136,346,0.393,432,955,0.452,0.489,295,339,0.870,37,215,252,190,54,10,170,182,1567,0,,houstal01,2001-2002
Shawn Marion,23,PHO,SF,81,81,3109,654,1395,0.469,48,122,0.393,606,1273,0.476,0.486,191,226,0.845,211,592,803,162,149,86,144,214,1547,0,,mariosh01,2001-2002
Wally Szczerbiak,24,MIN,SF,82,82,3117,609,1200,0.508,87,191,0.455,522,1009,0.517,0.544,226,272,0.831,120,271,391,257,66,21,181,188,1531,0,AS,szczewa02,2001-2002
Rasheed Wallace,27,POR,PF,79,79,2963,603,1287,0.469,114,317,0.360,489,970,0.504,0.513,201,274,0.734,136,509,645,152,101,101,131,212,1521,0,,wallara01,2001-2002
Peja Stojaković,24,SAC,SF,71,71,2649,547,1130,0.484,129,310,0.416,418,820,0.510,0.541,283,323,0.876,72,301,373,175,81,14,140,120,1506,0,MVP-16AS,stojape01,2001-2002
Jason Terry,24,ATL,SG,78,78,2967,524,1219,0.430,172,444,0.387,352,775,0.454,0.500,284,340,0.835,40,230,270,444,144,13,181,156,1504,0,,terryja01,2001-2002
Ray Allen,26,MIL,SG,69,67,2525,530,1148,0.462,229,528,0.434,301,620,0.485,0.561,214,245,0.873,81,231,312,271,88,18,159,157,1503,0,AS,allenra02,2001-2002
Vince Carter,25,TOR,SG,60,60,2385,559,1307,0.428,121,313,0.387,438,994,0.441,0.474,245,307,0.798,138,175,313,239,94,43,154,191,1484,0,AS,cartevi01,2001-2002
Baron Davis,22,CHH,PG,82,82,3318,559,1341,0.417,170,478,0.356,389,863,0.451,0.480,196,338,0.580,93,256,349,698,172,47,246,241,1484,1,AS,davisba01,2001-2002
Eddie Jones,30,MIA,SG,81,81,3156,517,1198,0.432,149,382,0.390,368,816,0.451,0.494,297,355,0.837,61,317,378,262,117,77,148,258,1480,0,,jonesed02,2001-2002
Steve Nash,27,DAL,PG,82,82,2837,525,1088,0.483,156,343,0.455,369,745,0.495,0.554,260,293,0.887,50,204,254,634,53,4,229,164,1466,0,MVP-14ASNBA3,nashst01,2001-2002
Sam Cassell,32,MIL,PG,74,73,2605,554,1197,0.463,71,204,0.348,483,993,0.486,0.492,282,328,0.860,54,258,312,493,90,12,177,208,1461,0,,cassesa01,2001-2002
Elton Brand,22,LAC,PF,80,80,3020,532,1010,0.527,0,0,,532,1010,0.527,0.527,389,524,0.742,396,529,925,191,80,163,173,254,1453,0,MVP-16AS,brandel01,2001-2002
Pau Gasol,21,MEM,PF,82,79,3007,551,1064,0.518,1,5,0.200,550,1059,0.519,0.518,338,477,0.709,238,492,730,223,41,169,224,195,1441,0,ROY-1,gasolpa01,2001-2002
Michael Finley,28,DAL,SF,69,69,2754,569,1228,0.463,76,224,0.339,493,1004,0.491,0.494,210,251,0.837,90,270,360,230,65,25,117,144,1424,0,,finlemi01,2001-2002
